game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique+__vs__MCTS+__seed4150005__Astart,,A,B,victory,10,"2,1,DIAMOND | 2,2,SQUARE | 1,0,CIRCLE | 0,3,TRIANGLE",5.432011,4.800838,5,5,172,145,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed4150006__Bstart,,B,B,victory,7,"1,1,SQUARE | 2,1,DIAMOND | 3,0,CIRCLE | 3,2,TRIANGLE",3.635299,3.636692,3,4,122,178,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed5160005__Astart,,A,B,victory,8,"2,1,CIRCLE | 2,0,TRIANGLE | 1,2,CIRCLE | 3,3,SQUARE",4.362334,3.600840,4,4,152,133,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed5160006__Bstart,,B,B,victory,11,"0,3,CIRCLE | 2,2,TRIANGLE | 3,2,DIAMOND | 1,1,TRIANGLE",4.771149,6.001083,5,6,119,188,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed6170005__Astart,,A,B,no_move,12,"1,1,SQUARE | 0,3,TRIANGLE | 2,2,SQUARE | 3,0,TRIANGLE",5.708882,7.201638,6,6,160,123,0,1,0,0,0,0
Génétique+__vs__MCTS+__seed6170006__Bstart,,B,A,victory,10,"2,2,CIRCLE | 0,3,SQUARE | 3,1,DIAMOND | 3,2,TRIANGLE",4.587099,6.002967,5,5,146,185,0,0,0,0,0,1
Génétique+__vs__MCTS+__seed7180005__Astart,,A,B,victory,12,"1,0,SQUARE | 2,2,SQUARE | 3,1,DIAMOND | 0,3,DIAMOND",5.767781,6.000858,6,6,186,138,0,1,0,0,1,0
Génétique+__vs__MCTS+__seed7180006__Bstart,,B,A,no_move,8,"0,1,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE | 1,2,SQUARE",4.008082,4.801155,4,4,115,167,0,0,0,0,0,0
Génétique+__vs__MCTS+__seed8190005__Astart,,A,B,victory,8,"3,1,DIAMOND | 0,2,SQUARE | 1,1,CIRCLE | 1,0,TRIANGLE",4.323131,3.600527,4,4,163,136,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed8190006__Bstart,,B,B,no_move,13,"0,3,TRIANGLE | 2,0,CIRCLE | 3,2,SQUARE | 3,0,TRIANGLE",6.006432,8.401319,6,7,144,200,0,0,0,0,0,0
Génétique+__vs__MCTS+__seed9200005__Astart,,A,B,victory,8,"1,1,SQUARE | 2,1,CIRCLE | 0,2,TRIANGLE | 3,3,DIAMOND",4.606145,3.600507,4,4,165,139,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed9200006__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 1,2,SQUARE | 0,2,DIAMOND | 2,1,CIRCLE",4.446388,4.801295,4,5,134,188,0,0,0,0,1,0
