game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta+MCTS+__vs__MCTS+__seed9090008__Bstart,,B,B,no_move,9,"0,1,SQUARE | 1,1,CIRCLE | 3,0,TRIANGLE | 2,2,DIAMOND",3.533137,6.000740,4,5,128,171,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed1120007__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 0,1,TRIANGLE",4.022710,6.000413,6,5,195,139,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1120008__Bstart,,B,B,victory,13,"0,0,SQUARE | 1,1,CIRCLE | 3,1,TRIANGLE | 2,2,DIAMOND",4.013098,7.200863,6,7,137,209,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed2130007__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 3,0,TRIANGLE",4.078131,4.800500,5,4,186,137,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2130008__Bstart,,B,B,victory,13,"2,2,DIAMOND | 1,1,CIRCLE | 3,0,TRIANGLE | 0,2,SQUARE",3.909842,7.200480,6,7,129,202,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3140007__Astart,,A,B,victory,10,"1,2,CIRCLE | 2,3,TRIANGLE | 2,1,SQUARE | 0,2,DIAMOND",4.867445,4.800445,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3140008__Bstart,,B,B,victory,9,"3,3,CIRCLE | 1,1,CIRCLE | 0,2,SQUARE | 3,0,SQUARE",4.295283,4.800813,4,5,129,192,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150007__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,1,SQUARE | 2,2,SQUARE | 0,3,TRIANGLE",3.684798,4.800468,5,4,189,138,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed4150008__Bstart,,B,B,no_move,11,"0,3,TRIANGLE | 2,1,CIRCLE | 1,0,SQUARE | 1,2,DIAMOND",3.801061,7.200915,5,6,130,176,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed5160007__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 0,2,TRIANGLE",3.960472,4.800469,5,4,186,128,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5160008__Bstart,,B,B,victory,9,"0,2,CIRCLE | 2,1,CIRCLE | 3,3,TRIANGLE | 1,2,TRIANGLE",4.063544,4.800826,4,5,132,192,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6170007__Astart,,A,A,victory,11,"1,2,CIRCLE | 3,3,CIRCLE | 1,1,CIRCLE | 2,0,SQUARE",4.034646,6.000488,6,5,173,146,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed6170008__Bstart,,B,A,victory,10,"0,2,CIRCLE | 1,1,CIRCLE | 3,3,TRIANGLE | 0,3,SQUARE",3.519294,6.000743,5,5,144,187,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7180007__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,0,DIAMOND",3.653907,4.800353,5,4,190,140,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7180008__Bstart,,B,B,victory,9,"1,2,CIRCLE | 1,1,SQUARE | 3,3,TRIANGLE | 2,1,CIRCLE",3.603925,4.800646,4,5,130,194,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8190007__Astart,,A,A,victory,11,"1,2,CIRCLE | 3,1,CIRCLE | 2,1,SQUARE | 0,0,DIAMOND",4.018991,6.000595,6,5,191,134,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8190008__Bstart,,B,B,no_move,11,"0,2,DIAMOND | 1,2,CIRCLE | 3,3,TRIANGLE | 2,1,SQUARE",3.545049,7.200519,5,6,130,175,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed9200007__Astart,,A,B,victory,10,"1,1,CIRCLE | 0,2,SQUARE | 2,2,TRIANGLE | 1,0,DIAMOND",4.869455,4.800435,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed9200008__Bstart,,B,B,victory,9,"2,2,DIAMOND | 1,2,CIRCLE | 3,0,SQUARE | 0,0,TRIANGLE",3.640148,4.800797,4,5,129,193,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1010009__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,3,SQUARE | 2,1,SQUARE | 3,2,TRIANGLE",4.796860,4.800482,5,5,186,145,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1010010__Bstart,,B,A,victory,10,"1,0,TRIANGLE | 1,1,CIRCLE | 0,2,DIAMOND | 0,3,SQUARE",3.263768,6.008328,5,5,144,186,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2020009__Astart,,A,B,no_move,10,"1,1,CIRCLE | 2,3,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE",4.769973,6.000565,5,5,180,135,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed2020010__Bstart,,B,B,no_move,11,"0,0,DIAMOND | 1,1,CIRCLE | 1,3,SQUARE | 2,2,TRIANGLE",4.028107,7.200515,5,6,132,183,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030009__Astart,,A,A,victory,11,"1,2,CIRCLE | 2,0,TRIANGLE | 2,1,SQUARE | 3,3,DIAMOND",4.032693,6.000381,6,5,183,146,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3030010__Bstart,,B,B,no_move,11,"0,3,TRIANGLE | 1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE",3.750176,7.200655,5,6,130,201,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed4040009__Astart,,A,A,victory,11,"1,2,CIRCLE | 2,3,DIAMOND | 2,1,SQUARE | 0,2,TRIANGLE",3.974157,6.000659,6,5,183,134,1,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed4040010__Bstart,,B,B,victory,9,"1,3,CIRCLE | 2,2,CIRCLE | 0,1,TRIANGLE | 3,0,TRIANGLE",4.295872,4.800842,4,5,133,187,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5050009__Astart,,A,B,victory,10,"1,1,CIRCLE | 2,0,SQUARE | 2,2,TRIANGLE | 3,3,CIRCLE",4.794697,4.800640,5,5,184,145,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5050010__Bstart,,B,B,victory,13,"3,1,TRIANGLE | 1,1,CIRCLE | 0,0,DIAMOND | 2,2,SQUARE",4.052956,7.200536,6,7,137,206,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6060009__Astart,,A,B,no_move,12,"1,1,CIRCLE | 0,0,DIAMOND | 1,2,CIRCLE | 3,3,DIAMOND",4.778115,7.200471,6,6,157,144,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed6060010__Bstart,,B,A,victory,10,"2,0,SQUARE | 1,1,CIRCLE | 0,1,TRIANGLE | 3,0,DIAMOND",3.127336,6.000594,5,5,147,186,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7070009__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 0,1,TRIANGLE",4.041598,4.800456,5,4,181,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7070010__Bstart,,B,A,victory,8,"1,2,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE | 0,3,DIAMOND",3.004786,4.800604,4,4,142,169,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8080009__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,1,TRIANGLE | 2,1,SQUARE | 0,0,CIRCLE",3.984549,4.800480,5,4,186,138,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8080010__Bstart,,B,A,victory,10,"2,0,CIRCLE | 1,2,CIRCLE | 0,1,TRIANGLE | 3,3,TRIANGLE",3.097022,6.000717,5,5,147,184,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9090009__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,0,DIAMOND | 0,0,SQUARE | 2,3,TRIANGLE",3.733180,4.800400,5,4,189,139,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9090010__Bstart,,B,B,victory,9,"3,3,CIRCLE | 1,1,CIRCLE | 0,2,TRIANGLE | 3,0,TRIANGLE",4.295080,4.800719,4,5,129,192,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1120009__Astart,,A,A,victory,9,"1,2,CIRCLE | 1,0,TRIANGLE | 2,1,SQUARE | 3,1,DIAMOND",3.970163,4.800406,5,4,185,128,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1120010__Bstart,,B,B,no_move,11,"3,1,DIAMOND | 1,2,CIRCLE | 0,0,SQUARE | 2,1,TRIANGLE",3.496301,7.200562,5,6,129,174,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed2130009__Astart,,A,A,victory,11,"1,2,CIRCLE | 1,0,SQUARE | 2,1,SQUARE | 3,3,TRIANGLE",3.664314,6.000431,6,5,192,149,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2130010__Bstart,,B,B,victory,9,"3,3,SQUARE | 1,1,CIRCLE | 0,2,CIRCLE | 2,0,SQUARE",4.124437,4.800837,4,5,131,182,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3140009__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,0,DIAMOND | 2,2,SQUARE | 0,3,TRIANGLE",3.931964,4.800482,5,4,183,139,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3140010__Bstart,,B,B,victory,9,"2,1,DIAMOND | 1,2,CIRCLE | 0,0,CIRCLE | 0,1,SQUARE",3.933502,4.800491,4,5,133,197,0,0,0,0,1,0
