game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta+MCTS+__vs__MCTS+__seed4040013__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 0,1,TRIANGLE",3.955030,4.800408,5,4,186,128,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed4040014__Bstart,,B,A,victory,10,"0,2,SQUARE | 1,1,CIRCLE | 1,0,DIAMOND | 0,3,TRIANGLE",3.090779,6.000792,5,5,147,186,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5050013__Astart,,A,A,victory,11,"1,2,CIRCLE | 2,0,CIRCLE | 2,1,SQUARE | 3,3,DIAMOND",4.055552,6.000443,6,5,195,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5050014__Bstart,,B,B,victory,9,"1,3,CIRCLE | 2,2,CIRCLE | 0,1,DIAMOND | 2,1,CIRCLE",3.627462,4.800579,4,5,125,201,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6060013__Astart,,A,A,victory,11,"1,2,CIRCLE | 3,3,SQUARE | 0,0,SQUARE | 2,1,CIRCLE",3.988709,6.000524,6,5,190,145,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed6060014__Bstart,,B,B,victory,9,"2,1,TRIANGLE | 1,1,CIRCLE | 3,2,DIAMOND | 0,2,SQUARE",4.059135,4.800745,4,5,131,192,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7070013__Astart,,A,B,victory,10,"1,2,CIRCLE | 2,3,SQUARE | 2,1,TRIANGLE | 0,2,DIAMOND",4.883534,4.800646,5,5,185,148,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7070014__Bstart,,B,B,victory,9,"1,1,SQUARE | 2,1,CIRCLE | 0,3,DIAMOND | 3,2,TRIANGLE",3.483203,4.809455,4,5,126,185,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8080013__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,0,DIAMOND | 0,0,SQUARE | 2,3,TRIANGLE",3.712529,4.800426,5,4,189,139,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8080014__Bstart,,B,B,victory,13,"0,0,SQUARE | 1,1,CIRCLE | 1,3,DIAMOND | 2,2,TRIANGLE",4.403892,7.200929,6,7,139,206,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed9090013__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,TRIANGLE",3.597953,4.800366,5,4,189,137,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9090014__Bstart,,B,B,no_move,9,"3,3,TRIANGLE | 1,2,CIRCLE | 0,2,DIAMOND | 2,1,SQUARE",3.527817,6.000610,4,5,128,170,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed1120013__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 0,1,TRIANGLE",3.941273,4.800458,5,4,187,129,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1120014__Bstart,,B,B,victory,13,"3,0,DIAMOND | 1,1,CIRCLE | 0,1,TRIANGLE | 2,2,SQUARE",4.288116,7.200796,6,7,133,198,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed2130013__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,3,TRIANGLE | 2,2,SQUARE | 3,0,DIAMOND",3.999720,6.007323,6,5,182,133,1,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2130014__Bstart,,B,A,victory,10,"2,2,TRIANGLE | 1,2,CIRCLE | 3,1,DIAMOND | 0,0,SQUARE",2.893045,6.000475,5,5,147,172,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3140013__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.999420,4.800316,5,4,179,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3140014__Bstart,,B,B,no_move,11,"0,1,TRIANGLE | 1,1,CIRCLE | 3,0,SQUARE | 2,2,DIAMOND",3.526511,7.200788,5,6,130,175,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150013__Astart,,A,B,no_move,12,"1,2,CIRCLE | 2,1,DIAMOND | 1,1,CIRCLE | 3,3,SQUARE",5.095398,7.200474,6,6,158,160,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150014__Bstart,,B,B,no_move,11,"2,3,DIAMOND | 1,1,CIRCLE | 3,0,CIRCLE | 0,2,SQUARE",3.931867,7.200714,5,6,127,194,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed5160013__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 1,0,TRIANGLE",3.933549,4.800567,5,4,187,129,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5160014__Bstart,,B,A,victory,10,"1,3,DIAMOND | 2,1,CIRCLE | 3,2,SQUARE | 1,0,SQUARE",3.370675,6.000550,5,5,144,184,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed6170013__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,TRIANGLE | 2,0,SQUARE | 0,1,DIAMOND",4.012210,4.800304,5,4,179,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed6170014__Bstart,,B,B,victory,11,"2,2,SQUARE | 1,1,CIRCLE | 3,0,DIAMOND | 0,3,SQUARE",4.174722,6.000640,5,6,129,190,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7180013__Astart,,A,B,victory,10,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 0,1,DIAMOND",4.833916,4.800580,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7180014__Bstart,,B,B,victory,9,"2,1,TRIANGLE | 1,1,CIRCLE | 3,2,SQUARE | 2,0,SQUARE",3.602657,4.800604,4,5,128,187,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8190013__Astart,,A,A,victory,11,"1,2,CIRCLE | 3,1,TRIANGLE | 2,1,SQUARE | 0,0,DIAMOND",3.995939,6.000560,6,5,182,133,1,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8190014__Bstart,,B,A,victory,8,"2,1,TRIANGLE | 1,1,CIRCLE | 0,0,DIAMOND | 3,0,SQUARE",2.751993,4.800585,4,4,142,169,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9200013__Astart,,A,A,victory,11,"1,2,CIRCLE | 0,0,TRIANGLE | 0,1,SQUARE | 1,3,DIAMOND",4.031910,6.000444,6,5,189,143,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9200014__Bstart,,B,B,no_move,11,"0,3,SQUARE | 1,1,CIRCLE | 1,0,DIAMOND | 2,2,TRIANGLE",3.485835,7.200683,5,6,130,174,1,0,0,0,0,0
