game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta (baseline)__vs__AlphaBeta+__seed1120004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.608630,4.005042,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2130003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.471689,3.765311,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2130004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.583977,3.979339,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3140003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.339054,3.767464,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3140004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.634106,3.967687,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4150003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.403297,3.764818,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4150004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.678508,3.966621,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5160003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.315411,3.766893,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5160004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.707820,3.971599,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6170003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.342817,3.766291,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6170004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.687029,3.962845,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7180003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.441970,3.763003,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7180004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",3.022687,3.988790,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8190003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.412796,3.763980,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8190004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.686947,3.998740,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9200003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.323797,3.767042,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9200004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.560683,3.973421,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed1010005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.417906,3.768029,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed1010006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.628779,3.967222,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2020005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.385974,3.762700,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2020006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.709492,3.983291,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3030005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.470679,3.766851,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3030006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.583997,3.980058,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4040005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.368851,3.764332,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4040006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.784281,3.943812,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5050005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.283811,3.767977,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5050006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.687149,3.960972,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6060005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.305156,3.764933,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6060006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.742030,3.986264,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7070005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.408647,3.760861,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7070006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.639279,3.945533,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8080005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.441986,3.773807,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8080006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.561777,3.987845,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9090005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.384388,3.763561,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9090006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.525714,3.973016,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed1120005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.397882,3.761203,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed1120006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.549072,3.955629,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2130005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.311733,3.768011,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2130006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.524384,3.977744,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3140005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.177738,3.767150,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3140006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.483543,3.948986,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4150005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.212202,3.761938,5,5,180,141,0,0,0,0,1,0
