game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
MCTS (baseline)__vs__MCTS+__seed6060002__Bstart,,B,B,victory,9,"3,0,SQUARE | 0,3,TRIANGLE | 1,1,CIRCLE | 2,0,TRIANGLE",2.400411,4.801246,4,5,117,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7070001__Astart,,A,B,victory,6,"1,0,DIAMOND | 3,3,SQUARE | 1,1,TRIANGLE | 1,2,CIRCLE",1.800643,2.400872,3,3,149,126,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7070002__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 1,0,DIAMOND | 3,1,SQUARE | 2,2,DIAMOND",2.407551,4.801474,4,5,117,186,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8080001__Astart,,A,B,victory,6,"2,2,TRIANGLE | 0,3,SQUARE | 2,3,DIAMOND | 3,2,CIRCLE",1.800564,2.400546,3,3,150,128,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8080002__Bstart,,B,B,victory,9,"3,3,SQUARE | 2,0,CIRCLE | 0,2,TRIANGLE | 1,2,CIRCLE",2.400797,4.801711,4,5,117,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9090001__Astart,,A,B,no_move,12,"1,2,DIAMOND | 0,0,SQUARE | 2,3,DIAMOND | 3,1,CIRCLE",3.600636,7.200710,6,6,155,144,1,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed9090002__Bstart,,B,B,victory,7,"3,0,TRIANGLE | 2,0,SQUARE | 1,1,CIRCLE | 1,3,SQUARE",1.800273,3.601620,3,4,111,179,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed1120001__Astart,,A,A,victory,13,"2,3,DIAMOND | 1,2,CIRCLE | 3,3,CIRCLE | 2,0,SQUARE",4.203598,7.203002,7,6,191,131,0,1,1,0,0,2
MCTS (baseline)__vs__MCTS+__seed1120002__Bstart,,B,B,victory,9,"0,2,CIRCLE | 2,2,SQUARE | 1,0,TRIANGLE | 0,0,SQUARE",2.411553,4.801334,4,5,122,189,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2130001__Astart,,A,B,victory,10,"1,2,TRIANGLE | 2,0,DIAMOND | 0,1,DIAMOND | 3,3,SQUARE",3.001011,4.801300,5,5,164,147,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2130002__Bstart,,B,B,victory,7,"2,0,SQUARE | 1,0,CIRCLE | 0,1,TRIANGLE | 3,3,CIRCLE",1.800902,3.601344,3,4,111,177,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed3140001__Astart,,A,B,victory,8,"2,0,DIAMOND | 0,3,SQUARE | 0,0,DIAMOND | 3,2,CIRCLE",2.400506,3.600793,4,4,150,149,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed3140002__Bstart,,B,B,victory,7,"1,1,DIAMOND | 1,3,TRIANGLE | 0,0,CIRCLE | 2,1,TRIANGLE",1.809235,3.601621,3,4,113,177,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4150001__Astart,,A,A,victory,9,"0,3,TRIANGLE | 0,0,CIRCLE | 2,1,SQUARE | 3,1,DIAMOND",3.000832,4.802827,5,4,176,131,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS+__seed4150002__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 1,1,DIAMOND | 1,0,CIRCLE | 3,2,DIAMOND",2.400474,4.801076,4,5,118,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5160001__Astart,,A,B,no_move,12,"1,2,SQUARE | 2,3,DIAMOND | 3,0,SQUARE | 0,1,DIAMOND",3.600774,7.201006,6,6,160,126,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed5160002__Bstart,,B,B,victory,7,"0,0,DIAMOND | 1,0,TRIANGLE | 2,1,SQUARE | 2,3,TRIANGLE",1.800164,3.600916,3,4,111,179,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6170001__Astart,,A,B,victory,8,"3,3,SQUARE | 0,0,CIRCLE | 1,0,SQUARE | 2,1,TRIANGLE",2.400285,3.600662,4,4,151,133,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6170002__Bstart,,B,B,victory,9,"1,2,CIRCLE | 0,0,SQUARE | 3,3,DIAMOND | 2,3,SQUARE",2.400660,4.801653,4,5,117,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7180001__Astart,,A,B,victory,10,"1,3,CIRCLE | 0,0,TRIANGLE | 2,3,TRIANGLE | 3,1,SQUARE",3.010127,4.800825,5,5,163,148,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7180002__Bstart,,B,B,no_move,9,"1,1,TRIANGLE | 2,3,CIRCLE | 0,3,DIAMOND | 2,0,SQUARE",2.400647,6.001603,4,5,128,168,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed8190001__Astart,,A,B,victory,8,"3,0,SQUARE | 2,0,DIAMOND | 0,2,SQUARE | 1,1,TRIANGLE",2.400467,3.600819,4,4,154,145,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8190002__Bstart,,B,B,victory,9,"0,3,DIAMOND | 1,0,TRIANGLE | 2,1,CIRCLE | 3,2,TRIANGLE",2.400449,4.801313,4,5,117,186,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9200001__Astart,,A,B,victory,8,"1,1,DIAMOND | 0,0,CIRCLE | 3,3,DIAMOND | 2,1,TRIANGLE",2.400341,3.602237,4,4,154,144,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9200002__Bstart,,B,B,victory,9,"0,2,DIAMOND | 2,1,TRIANGLE | 1,0,TRIANGLE | 3,2,SQUARE",2.417524,4.801270,4,5,125,184,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed1010003__Astart,,A,B,no_move,12,"2,0,DIAMOND | 3,3,SQUARE | 0,2,DIAMOND | 1,1,SQUARE",3.600476,7.200767,6,6,155,124,1,1,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed1010004__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 1,3,CIRCLE | 0,1,SQUARE | 2,0,CIRCLE",2.400421,4.801010,4,5,122,188,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2020003__Astart,,A,B,victory,12,"2,2,CIRCLE | 3,2,SQUARE | 2,0,SQUARE | 1,3,TRIANGLE",3.600723,6.000994,6,6,169,152,1,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2020004__Bstart,,B,B,no_move,11,"3,1,TRIANGLE | 2,0,SQUARE | 3,2,CIRCLE | 1,3,SQUARE",3.000361,7.200767,5,6,123,191,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed3030003__Astart,,A,B,no_move,12,"2,0,SQUARE | 0,2,CIRCLE | 3,3,SQUARE | 1,1,DIAMOND",3.601001,7.200619,6,6,162,147,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed3030004__Bstart,,B,B,victory,9,"1,2,SQUARE | 0,2,DIAMOND | 3,3,TRIANGLE | 2,0,DIAMOND",2.401150,4.801205,4,5,122,188,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4040003__Astart,,A,B,victory,6,"0,2,CIRCLE | 1,3,DIAMOND | 2,2,SQUARE | 3,2,TRIANGLE",1.800483,2.400855,3,3,151,128,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4040004__Bstart,,B,A,victory,10,"1,0,CIRCLE | 0,3,TRIANGLE | 3,1,SQUARE | 1,1,DIAMOND",3.000393,6.001177,5,5,145,185,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS+__seed5050003__Astart,,A,B,victory,10,"3,0,TRIANGLE | 0,0,CIRCLE | 0,3,TRIANGLE | 2,2,SQUARE",3.000666,4.801425,5,5,163,148,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5050004__Bstart,,B,B,victory,9,"1,0,SQUARE | 0,2,DIAMOND | 0,3,CIRCLE | 2,1,DIAMOND",2.400285,4.810970,4,5,118,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6060003__Astart,,A,B,victory,10,"2,3,SQUARE | 0,3,TRIANGLE | 0,0,SQUARE | 3,1,CIRCLE",3.000426,4.800913,5,5,161,144,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6060004__Bstart,,B,B,victory,7,"1,1,DIAMOND | 2,2,SQUARE | 0,3,SQUARE | 3,2,TRIANGLE",1.800322,3.601628,3,4,118,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7070003__Astart,,A,B,victory,10,"2,0,TRIANGLE | 1,0,SQUARE | 1,3,TRIANGLE | 3,2,DIAMOND",3.000718,4.800801,5,5,161,145,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7070004__Bstart,,B,B,no_move,11,"3,3,TRIANGLE | 0,2,TRIANGLE | 1,1,CIRCLE | 3,1,SQUARE",3.000393,7.201489,5,6,131,177,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed8080003__Astart,,A,B,victory,8,"3,0,DIAMOND | 2,1,SQUARE | 1,3,DIAMOND | 2,2,TRIANGLE",2.400683,3.600839,4,4,155,133,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8080004__Bstart,,B,B,victory,7,"2,2,SQUARE | 3,3,DIAMOND | 3,0,TRIANGLE | 1,0,DIAMOND",1.800154,3.601030,3,4,111,179,0,0,0,0,1,0
