game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
MCTS (baseline)__vs__MCTS++__seed3140005__Astart,,A,B,victory,6,"2,2,SQUARE | 0,0,TRIANGLE | 0,2,CIRCLE | 1,3,DIAMOND",1.800318,2.401054,3,3,149,128,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed3140006__Bstart,,B,B,victory,11,"1,2,TRIANGLE | 0,1,CIRCLE | 1,3,CIRCLE | 3,0,CIRCLE",3.000460,4.801374,5,6,135,196,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4150005__Astart,,A,A,victory,11,"2,1,DIAMOND | 2,2,SQUARE | 1,3,SQUARE | 0,0,DIAMOND",3.600549,6.002088,6,5,201,140,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed4150006__Bstart,,B,B,victory,7,"1,1,TRIANGLE | 0,2,TRIANGLE | 0,1,SQUARE | 1,3,DIAMOND",1.800332,2.401484,3,4,125,180,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed5160005__Astart,,A,A,victory,9,"0,3,DIAMOND | 2,2,TRIANGLE | 1,0,TRIANGLE | 3,1,SQUARE",3.000384,4.817520,5,4,170,138,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed5160006__Bstart,,B,B,victory,7,"2,1,SQUARE | 0,2,TRIANGLE | 3,3,TRIANGLE | 1,2,CIRCLE",1.800761,2.401349,3,4,118,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6170005__Astart,,A,B,victory,8,"2,3,TRIANGLE | 3,3,SQUARE | 1,2,DIAMOND | 0,2,CIRCLE",2.400346,3.603150,4,4,165,139,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6170006__Bstart,,B,A,victory,4,"2,1,CIRCLE | 2,3,TRIANGLE | 2,2,SQUARE | 2,0,DIAMOND",1.202648,1.200811,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed7180005__Astart,,A,B,victory,8,"1,3,TRIANGLE | 2,2,DIAMOND | 3,2,TRIANGLE | 0,3,CIRCLE",2.400574,3.602744,4,4,150,149,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed7180006__Bstart,,B,B,victory,9,"2,2,TRIANGLE | 3,2,DIAMOND | 0,3,SQUARE | 1,1,DIAMOND",2.400210,3.601102,4,5,124,186,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8190005__Astart,,A,B,victory,8,"1,2,SQUARE | 1,3,DIAMOND | 0,1,TRIANGLE | 0,0,CIRCLE",2.400303,3.601306,4,4,165,139,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8190006__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 2,2,CIRCLE | 3,0,SQUARE | 1,1,CIRCLE",2.400299,3.601247,4,5,120,186,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9200005__Astart,,A,B,victory,8,"1,0,DIAMOND | 2,0,TRIANGLE | 0,3,TRIANGLE | 3,1,CIRCLE",2.400494,3.601025,4,4,168,135,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9200006__Bstart,,B,A,victory,4,"2,2,SQUARE | 3,3,CIRCLE | 3,2,DIAMOND | 2,3,TRIANGLE",1.200195,1.201024,2,2,95,114,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed1010001__Astart,,A,A,no_move,11,"3,0,DIAMOND | 2,0,SQUARE | 1,1,CIRCLE | 0,1,TRIANGLE",7.201536,6.001225,6,5,187,131,0,0,0,0,0,0
MCTS+__vs__MCTS++__seed1010002__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 2,3,CIRCLE | 3,3,DIAMOND | 0,2,SQUARE",4.800824,3.601668,4,5,135,181,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed2020001__Astart,,A,B,victory,8,"1,3,TRIANGLE | 3,1,CIRCLE | 0,3,CIRCLE | 2,2,SQUARE",4.801551,3.600971,4,4,171,143,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed2020002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 2,2,DIAMOND | 0,0,DIAMOND | 3,1,SQUARE",3.600662,2.410777,3,4,123,174,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed3030001__Astart,,A,B,victory,12,"0,3,SQUARE | 3,3,CIRCLE | 1,1,DIAMOND | 2,0,TRIANGLE",7.201817,6.001428,6,6,184,143,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed3030002__Bstart,,B,A,victory,4,"2,2,TRIANGLE | 0,2,SQUARE | 3,2,DIAMOND | 1,2,CIRCLE",1.200866,1.200795,2,2,95,114,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed4040001__Astart,,A,B,victory,10,"3,1,DIAMOND | 1,3,DIAMOND | 2,2,CIRCLE | 0,0,CIRCLE",6.001434,4.801804,5,5,186,144,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed4040002__Bstart,,B,B,victory,9,"2,1,DIAMOND | 3,0,SQUARE | 3,2,CIRCLE | 2,3,TRIANGLE",4.800719,3.622095,4,5,131,190,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed5050001__Astart,,A,A,no_move,11,"3,0,SQUARE | 2,0,DIAMOND | 0,1,CIRCLE | 1,1,TRIANGLE",7.208353,6.001780,6,5,187,131,0,0,0,0,0,0
MCTS+__vs__MCTS++__seed5050002__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,2,TRIANGLE | 2,3,DIAMOND | 3,3,SQUARE",4.800897,3.601282,4,5,132,182,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed6060001__Astart,,A,A,victory,9,"1,2,CIRCLE | 1,0,DIAMOND | 2,3,SQUARE | 3,0,CIRCLE",4.801177,4.801380,5,4,185,125,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed6060002__Bstart,,B,A,victory,4,"1,2,DIAMOND | 0,3,TRIANGLE | 0,2,CIRCLE | 1,3,SQUARE",1.200390,1.200540,2,2,95,114,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed7070001__Astart,,A,B,victory,10,"3,1,SQUARE | 1,0,TRIANGLE | 2,3,CIRCLE | 0,3,DIAMOND",6.001131,4.802183,5,5,171,144,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed7070002__Bstart,,B,A,victory,4,"1,1,DIAMOND | 1,3,TRIANGLE | 1,0,SQUARE | 1,2,CIRCLE",1.200463,1.200780,2,2,95,114,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed8080001__Astart,,A,A,victory,9,"1,1,SQUARE | 1,0,CIRCLE | 0,3,DIAMOND | 0,2,TRIANGLE",4.801399,4.801800,5,4,180,135,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed8080002__Bstart,,B,A,victory,10,"1,2,SQUARE | 2,3,CIRCLE | 1,0,CIRCLE | 0,2,DIAMOND",4.801010,4.802155,5,5,137,179,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed9090001__Astart,,A,A,victory,11,"1,2,CIRCLE | 1,0,TRIANGLE | 2,3,SQUARE | 3,1,DIAMOND",6.001113,6.001496,6,5,192,146,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed9090002__Bstart,,B,A,victory,4,"2,2,TRIANGLE | 1,2,SQUARE | 0,2,CIRCLE | 3,2,DIAMOND",1.200482,1.200366,2,2,95,114,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed1120001__Astart,,A,B,victory,12,"1,3,CIRCLE | 0,1,SQUARE | 2,0,TRIANGLE | 1,2,DIAMOND",7.200886,6.001955,6,6,175,139,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed1120002__Bstart,,B,B,victory,9,"1,2,CIRCLE | 0,2,TRIANGLE | 3,3,SQUARE | 2,3,DIAMOND",4.800625,3.600846,4,5,135,182,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed2130001__Astart,,A,A,victory,9,"1,0,DIAMOND | 0,0,SQUARE | 3,1,TRIANGLE | 2,1,CIRCLE",4.800604,4.801032,5,4,182,126,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed2130002__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 0,2,CIRCLE | 2,3,SQUARE | 3,3,DIAMOND",4.800886,3.601185,4,5,135,182,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed3140001__Astart,,A,A,victory,9,"1,3,CIRCLE | 0,3,DIAMOND | 2,2,TRIANGLE | 3,2,SQUARE",4.801993,4.802114,5,4,180,135,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed3140002__Bstart,,B,B,victory,7,"2,1,SQUARE | 3,0,TRIANGLE | 2,3,TRIANGLE | 1,0,CIRCLE",3.600677,2.400634,3,4,122,179,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed4150001__Astart,,A,A,victory,9,"1,2,DIAMOND | 1,1,SQUARE | 3,3,CIRCLE | 3,0,TRIANGLE",4.800877,4.801016,5,4,188,133,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed4150002__Bstart,,B,A,victory,10,"2,1,CIRCLE | 3,2,TRIANGLE | 3,3,SQUARE | 2,0,DIAMOND",4.800771,4.800937,5,5,138,182,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed5160001__Astart,,A,A,victory,11,"3,0,TRIANGLE | 0,0,CIRCLE | 1,3,DIAMOND | 2,2,TRIANGLE",6.000987,6.001832,6,5,196,137,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed5160002__Bstart,,B,A,victory,8,"2,2,DIAMOND | 3,3,CIRCLE | 3,1,SQUARE | 2,0,TRIANGLE",3.600647,3.601338,4,4,144,177,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed6170001__Astart,,A,A,victory,9,"2,3,SQUARE | 3,3,DIAMOND | 0,2,TRIANGLE | 1,2,CIRCLE",4.804246,4.801453,5,4,182,135,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed6170002__Bstart,,B,B,victory,9,"2,2,CIRCLE | 3,2,DIAMOND | 1,3,SQUARE | 0,3,TRIANGLE",4.800744,3.600794,4,5,135,180,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed7180001__Astart,,A,B,victory,10,"0,3,SQUARE | 0,2,CIRCLE | 1,1,DIAMOND | 1,0,TRIANGLE",6.000779,4.800987,5,5,187,147,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed7180002__Bstart,,B,A,victory,12,"1,1,CIRCLE | 0,3,CIRCLE | 0,1,SQUARE | 2,0,TRIANGLE",6.000924,6.001078,6,6,155,186,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed8190001__Astart,,A,A,victory,9,"3,0,CIRCLE | 2,0,TRIANGLE | 1,1,DIAMOND | 0,1,SQUARE",4.801337,4.800899,5,4,187,126,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed8190002__Bstart,,B,A,victory,10,"1,2,SQUARE | 3,3,DIAMOND | 3,0,TRIANGLE | 0,2,CIRCLE",4.800636,4.800916,5,5,153,184,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed9200001__Astart,,A,A,victory,7,"3,1,TRIANGLE | 2,0,DIAMOND | 0,0,CIRCLE | 3,2,CIRCLE",3.600681,3.601978,4,3,182,122,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed9200002__Bstart,,B,A,victory,8,"2,2,CIRCLE | 0,3,TRIANGLE | 0,0,DIAMOND | 3,2,SQUARE",3.600802,3.601151,4,4,143,164,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed1010003__Astart,,A,A,victory,9,"1,2,TRIANGLE | 2,2,DIAMOND | 3,3,CIRCLE | 2,0,CIRCLE",4.801015,4.801475,5,4,203,136,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed1010004__Bstart,,B,B,victory,9,"2,1,SQUARE | 0,2,TRIANGLE | 3,3,DIAMOND | 1,0,CIRCLE",4.800809,3.601287,4,5,136,188,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed2020003__Astart,,A,A,no_move,9,"2,0,DIAMOND | 3,1,TRIANGLE | 3,3,SQUARE | 2,2,CIRCLE",6.000901,4.801761,5,4,171,131,0,0,0,0,0,0
MCTS+__vs__MCTS++__seed2020004__Bstart,,B,A,victory,10,"1,2,DIAMOND | 2,3,SQUARE | 2,1,TRIANGLE | 0,2,CIRCLE",4.800786,4.801318,5,5,147,179,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed3030003__Astart,,A,A,victory,7,"0,1,CIRCLE | 0,0,TRIANGLE | 1,3,SQUARE | 3,1,SQUARE",3.601138,3.602357,4,3,175,122,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed3030004__Bstart,,B,B,victory,11,"2,2,TRIANGLE | 1,3,DIAMOND | 3,1,CIRCLE | 0,0,SQUARE",6.001090,4.801429,5,6,145,190,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed4040003__Astart,,A,A,victory,9,"1,3,CIRCLE | 3,3,TRIANGLE | 0,1,TRIANGLE | 2,3,TRIANGLE",4.804215,4.801342,5,4,196,129,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed4040004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 0,1,DIAMOND | 2,0,TRIANGLE | 3,0,SQUARE",4.800419,3.600950,4,5,135,180,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed5050003__Astart,,A,B,victory,8,"3,1,DIAMOND | 3,2,SQUARE | 0,3,CIRCLE | 1,3,TRIANGLE",4.800667,3.601211,4,4,165,142,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed5050004__Bstart,,B,B,victory,9,"2,1,DIAMOND | 2,0,CIRCLE | 3,2,SQUARE | 3,3,TRIANGLE",4.800570,3.601104,4,5,135,180,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed6060003__Astart,,A,A,victory,9,"2,1,CIRCLE | 2,2,DIAMOND | 1,3,TRIANGLE | 1,0,SQUARE",4.800821,4.801635,5,4,189,130,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed6060004__Bstart,,B,B,victory,11,"1,1,TRIANGLE | 1,3,DIAMOND | 3,0,SQUARE | 2,2,CIRCLE",6.000578,4.801082,5,6,146,192,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed7070003__Astart,,A,A,victory,11,"0,0,CIRCLE | 2,0,TRIANGLE | 1,3,SQUARE | 3,2,DIAMOND",6.000643,6.001485,6,5,192,146,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed7070004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,TRIANGLE | 1,0,SQUARE",4.800514,3.601100,4,5,135,181,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed8080003__Astart,,A,A,victory,9,"1,0,CIRCLE | 1,1,DIAMOND | 0,2,SQUARE | 0,3,TRIANGLE",4.800652,4.801809,5,4,187,128,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed8080004__Bstart,,B,A,victory,10,"1,1,TRIANGLE | 3,0,TRIANGLE | 2,0,SQUARE | 2,2,DIAMOND",4.800871,4.801140,5,5,145,182,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed9090003__Astart,,A,A,victory,7,"0,3,TRIANGLE | 1,2,CIRCLE | 2,2,SQUARE | 0,1,DIAMOND",3.600629,3.601066,4,3,182,122,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed9090004__Bstart,,B,A,victory,10,"2,1,TRIANGLE | 3,0,CIRCLE | 0,2,CIRCLE | 1,1,SQUARE",4.800757,4.802029,5,5,148,187,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed1120003__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,1,TRIANGLE | 0,0,DIAMOND | 2,3,CIRCLE",4.800704,4.801873,5,4,188,136,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed1120004__Bstart,,B,A,victory,10,"2,1,SQUARE | 3,3,SQUARE | 1,1,TRIANGLE | 0,2,CIRCLE",4.800715,4.801133,5,5,147,188,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed2130003__Astart,,A,B,victory,12,"0,3,TRIANGLE | 2,3,CIRCLE | 1,0,DIAMOND | 3,1,SQUARE",7.201143,6.001073,6,6,180,144,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed2130004__Bstart,,B,A,victory,8,"2,2,TRIANGLE | 3,0,SQUARE | 0,2,SQUARE | 2,3,CIRCLE",3.600854,3.601241,4,4,137,171,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed3140003__Astart,,A,A,victory,9,"3,3,TRIANGLE | 1,0,CIRCLE | 0,2,CIRCLE | 2,1,DIAMOND",4.800707,4.801082,5,4,185,127,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed3140004__Bstart,,B,B,victory,9,"1,1,TRIANGLE | 3,0,DIAMOND | 2,0,CIRCLE | 0,1,SQUARE",4.800771,3.601170,4,5,135,181,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed4150003__Astart,,A,B,victory,10,"1,0,CIRCLE | 1,1,TRIANGLE | 0,3,DIAMOND | 0,2,SQUARE",6.000956,4.801075,5,5,187,147,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed4150004__Bstart,,B,A,victory,12,"2,2,CIRCLE | 1,0,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",6.000510,6.000943,6,6,143,183,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed5160003__Astart,,A,A,victory,9,"2,2,CIRCLE | 2,0,DIAMOND | 1,3,TRIANGLE | 0,1,TRIANGLE",4.803957,4.801365,5,4,190,137,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed5160004__Bstart,,B,B,victory,11,"2,1,SQUARE | 2,2,CIRCLE | 1,0,CIRCLE | 0,3,TRIANGLE",6.000722,4.801729,5,6,146,192,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed6170003__Astart,,A,A,victory,9,"1,3,CIRCLE | 1,2,TRIANGLE | 0,1,SQUARE | 0,0,DIAMOND",4.800767,4.801763,5,4,180,135,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed6170004__Bstart,,B,A,victory,10,"2,2,CIRCLE | 0,2,TRIANGLE | 1,0,CIRCLE | 3,1,SQUARE",4.800624,4.801150,5,5,147,161,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed7180003__Astart,,A,A,victory,9,"1,2,SQUARE | 1,3,TRIANGLE | 0,0,DIAMOND | 0,1,CIRCLE",4.800910,4.801468,5,4,180,135,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed7180004__Bstart,,B,B,victory,9,"1,2,CIRCLE | 2,3,DIAMOND | 0,1,TRIANGLE | 3,0,TRIANGLE",4.806524,3.601044,4,5,136,188,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed8190003__Astart,,A,B,victory,10,"3,2,DIAMOND | 3,3,CIRCLE | 2,0,TRIANGLE | 2,1,SQUARE",6.000802,4.801446,5,5,187,147,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed8190004__Bstart,,B,B,victory,9,"2,1,CIRCLE | 3,3,DIAMOND | 3,2,TRIANGLE | 2,0,SQUARE",4.800721,3.601463,4,5,135,181,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed9200003__Astart,,A,A,no_move,11,"3,0,TRIANGLE | 3,1,CIRCLE | 2,3,SQUARE | 1,2,TRIANGLE",7.200903,6.001681,6,5,184,130,1,0,0,0,0,0
MCTS+__vs__MCTS++__seed9200004__Bstart,,B,A,victory,8,"1,2,SQUARE | 3,3,CIRCLE | 3,0,TRIANGLE | 0,2,DIAMOND",3.600702,3.600647,4,4,142,164,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed1010005__Astart,,A,B,no_move,12,"2,3,DIAMOND | 0,0,TRIANGLE | 3,0,CIRCLE | 1,2,SQUARE",7.200793,7.201640,6,6,180,144,0,0,0,0,0,0
MCTS+__vs__MCTS++__seed1010006__Bstart,,B,A,victory,10,"1,2,DIAMOND | 0,0,TRIANGLE | 2,3,CIRCLE | 3,1,SQUARE",4.800603,4.801599,5,5,144,186,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed2020005__Astart,,A,B,victory,10,"1,2,CIRCLE | 3,3,SQUARE | 0,1,TRIANGLE | 0,2,DIAMOND",6.000805,4.801187,5,5,180,144,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed2020006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 3,1,SQUARE | 3,0,DIAMOND",3.601031,3.602015,4,4,137,171,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed3030005__Astart,,A,B,victory,10,"2,1,TRIANGLE | 2,3,CIRCLE | 1,0,DIAMOND | 0,2,TRIANGLE",6.001286,4.801652,5,5,183,148,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed3030006__Bstart,,B,A,victory,14,"1,2,DIAMOND | 2,0,CIRCLE | 2,2,SQUARE | 3,3,TRIANGLE",7.200826,7.201762,7,7,164,188,0,1,0,0,0,1
MCTS+__vs__MCTS++__seed4040005__Astart,,A,A,victory,9,"3,0,DIAMOND | 2,0,CIRCLE | 0,1,TRIANGLE | 1,1,SQUARE",4.800866,4.801537,5,4,182,135,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed4040006__Bstart,,B,B,victory,9,"1,2,DIAMOND | 3,3,TRIANGLE | 2,3,CIRCLE | 0,2,SQUARE",4.800466,3.600721,4,5,127,181,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed5050005__Astart,,A,A,victory,11,"2,1,TRIANGLE | 0,0,SQUARE | 3,2,SQUARE | 1,3,DIAMOND",6.000892,6.001475,6,5,190,145,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed5050006__Bstart,,B,B,victory,9,"1,2,DIAMOND | 0,0,TRIANGLE | 0,1,SQUARE | 1,3,CIRCLE",4.800402,3.601080,4,5,135,179,0,0,0,0,1,0
MCTS+__vs__MCTS++__seed6060005__Astart,,A,A,victory,9,"0,0,CIRCLE | 3,1,TRIANGLE | 2,1,SQUARE | 1,0,DIAMOND",4.800648,4.801401,5,4,179,135,0,0,0,0,0,1
MCTS+__vs__MCTS++__seed6060006__Bstart,,B,A,victory,10,"1,1,TRIANGLE | 1,3,DIAMOND | 3,2,DIAMOND | 2,0,SQUARE",4.800443,4.801125,5,5,145,182,0,0,0,0,0,1
