game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__Génétique (éval AB)+__seed9200001__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,0,CIRCLE | 2,1,DIAMOND | 2,2,SQUARE",6.980430,3.949157,5,5,186,148,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed9200002__Bstart,,B,B,victory,9,"3,0,CIRCLE | 1,2,DIAMOND | 1,1,SQUARE | 3,3,SQUARE",9.241545,2.600445,4,5,140,192,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010003__Astart,,A,A,victory,9,"1,3,TRIANGLE | 1,2,DIAMOND | 2,1,DIAMOND | 3,1,TRIANGLE",3.348016,2.830942,5,4,189,136,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010004__Bstart,,B,A,victory,8,"2,2,SQUARE | 1,2,TRIANGLE | 1,1,DIAMOND | 0,0,CIRCLE",9.232342,2.472333,4,4,141,176,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020003__Astart,,A,B,victory,8,"2,1,DIAMOND | 2,2,TRIANGLE | 1,2,CIRCLE | 3,0,SQUARE",5.087093,3.331605,4,4,176,144,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020004__Bstart,,B,A,victory,8,"1,2,DIAMOND | 2,2,TRIANGLE | 2,1,SQUARE | 3,0,CIRCLE",9.564915,2.496877,4,4,143,176,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030003__Astart,,A,A,victory,9,"2,2,TRIANGLE | 1,2,SQUARE | 1,1,CIRCLE | 2,1,DIAMOND",6.046609,3.765948,5,4,194,140,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030004__Bstart,,B,B,victory,7,"3,3,TRIANGLE | 1,1,CIRCLE | 1,2,DIAMOND | 0,2,TRIANGLE",7.757578,2.465449,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4040003__Astart,,A,A,victory,7,"3,0,SQUARE | 1,1,SQUARE | 1,2,TRIANGLE | 2,2,DIAMOND",5.862479,2.654254,4,3,178,120,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4040004__Bstart,,B,B,victory,9,"0,0,CIRCLE | 2,2,DIAMOND | 3,1,TRIANGLE | 1,1,SQUARE",9.758345,2.752230,4,5,127,193,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5050003__Astart,,A,B,victory,8,"1,1,CIRCLE | 2,1,TRIANGLE | 2,2,SQUARE | 3,2,DIAMOND",6.887755,2.988664,4,4,176,142,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5050004__Bstart,,B,B,victory,7,"2,3,DIAMOND | 1,1,SQUARE | 1,2,TRIANGLE | 2,0,TRIANGLE",8.072658,2.592322,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6060003__Astart,,A,B,victory,8,"2,1,TRIANGLE | 2,2,DIAMOND | 1,2,CIRCLE | 0,3,SQUARE",4.741564,3.767693,4,4,176,142,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6060004__Bstart,,B,B,victory,7,"0,2,TRIANGLE | 1,1,SQUARE | 2,1,DIAMOND | 2,0,CIRCLE",7.727042,2.476498,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7070003__Astart,,A,A,victory,7,"2,3,CIRCLE | 2,2,TRIANGLE | 1,1,DIAMOND | 0,3,SQUARE",4.653138,3.587001,4,3,177,117,0,0,0,0,0,1
