game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.958986,3.575958,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.841723,4.295026,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.963370,3.565198,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.833502,4.295622,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.966535,3.577182,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020004__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.841828,4.890275,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.958493,3.569535,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.843930,4.295678,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.962343,3.570508,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.833344,4.295721,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",3.436379,3.913993,5,4,190,139,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050004__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.841349,4.888634,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.978843,3.567795,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.833582,4.295789,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.966262,3.564561,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.842629,4.295671,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.962071,3.565791,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",3.046104,4.532627,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.963322,3.562061,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.073022,4.525642,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.959789,3.569263,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.841878,4.295551,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.966742,3.559691,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.832030,4.295241,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.966686,3.565882,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140004__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.842029,4.889021,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.968651,3.567158,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.831133,4.295706,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.965306,3.576547,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.830670,4.295750,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170003__Astart,,A,A,victory,15,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.950256,5.518916,8,7,199,156,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",3.046536,4.533925,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.957689,3.576630,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.836166,4.295018,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.958275,3.566801,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.067885,4.524854,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.959548,3.560784,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.832743,4.295771,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.961817,3.567740,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.829650,4.295585,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020005__Astart,,A,A,victory,15,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.947969,5.518838,8,7,199,156,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.832532,4.295279,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.960906,3.563628,6,6,193,158,0,0,0,0,0,0
