game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__MCTS+__seed2020003__Astart,,A,A,victory,11,"2,1,DIAMOND | 1,0,TRIANGLE | 1,2,SQUARE | 3,1,CIRCLE",5.311705,6.000616,6,5,183,134,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2020004__Bstart,,B,A,victory,10,"1,0,SQUARE | 2,1,DIAMOND | 3,3,DIAMOND | 0,0,CIRCLE",9.224650,6.000682,5,5,147,177,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3030003__Astart,,A,A,victory,9,"2,2,TRIANGLE | 0,0,CIRCLE | 1,1,SQUARE | 3,1,DIAMOND",5.544490,4.812236,5,4,186,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3030004__Bstart,,B,B,victory,9,"0,3,DIAMOND | 2,1,CIRCLE | 3,2,SQUARE | 1,0,DIAMOND",7.849118,4.800626,4,5,131,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4040003__Astart,,A,A,victory,11,"3,0,SQUARE | 0,0,CIRCLE | 1,2,TRIANGLE | 1,3,DIAMOND",4.410827,6.000640,6,5,184,132,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4040004__Bstart,,B,B,victory,7,"3,2,CIRCLE | 2,1,CIRCLE | 0,3,DIAMOND | 1,0,TRIANGLE",8.748987,3.600839,3,4,117,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5050003__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,TRIANGLE | 0,1,SQUARE",6.231026,6.000519,6,5,183,134,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5050004__Bstart,,B,B,victory,7,"2,3,SQUARE | 1,1,SQUARE | 3,0,TRIANGLE | 0,3,DIAMOND",7.885234,3.600408,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6060003__Astart,,A,A,victory,9,"2,1,TRIANGLE | 1,0,CIRCLE | 0,3,CIRCLE | 3,2,SQUARE",6.231770,4.800478,5,4,191,134,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060004__Bstart,,B,B,victory,9,"1,3,SQUARE | 2,1,SQUARE | 0,0,TRIANGLE | 1,2,TRIANGLE",9.244640,4.800509,4,5,131,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7070003__Astart,,A,A,victory,9,"2,3,CIRCLE | 1,0,CIRCLE | 1,1,TRIANGLE | 0,2,DIAMOND",6.841116,4.800501,5,4,185,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7070004__Bstart,,B,B,victory,7,"1,1,DIAMOND | 1,2,CIRCLE | 3,0,SQUARE | 0,1,SQUARE",8.316609,3.600556,3,4,119,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8080003__Astart,,A,A,victory,11,"3,3,DIAMOND | 3,0,TRIANGLE | 2,1,SQUARE | 2,2,CIRCLE",3.571607,6.000515,6,5,198,141,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8080004__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE",8.951323,4.800838,4,5,139,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9090003__Astart,,A,A,victory,11,"3,2,DIAMOND | 0,0,SQUARE | 2,1,CIRCLE | 1,3,CIRCLE",5.152758,6.000491,6,5,192,141,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9090004__Bstart,,B,B,victory,9,"3,2,CIRCLE | 2,1,SQUARE | 1,3,DIAMOND | 0,3,TRIANGLE",8.438416,4.800462,4,5,136,171,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1120003__Astart,,A,A,victory,9,"2,2,SQUARE | 0,0,DIAMOND | 1,1,TRIANGLE | 3,1,CIRCLE",4.568360,4.800541,5,4,186,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120004__Bstart,,B,B,victory,7,"2,2,DIAMOND | 1,1,DIAMOND | 0,3,TRIANGLE | 3,0,CIRCLE",7.988189,3.600533,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2130003__Astart,,A,A,victory,9,"3,3,SQUARE | 1,1,TRIANGLE | 2,1,CIRCLE | 0,2,DIAMOND",4.797260,4.800540,5,4,190,140,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2130004__Bstart,,B,B,victory,11,"1,0,SQUARE | 2,1,SQUARE | 3,3,DIAMOND | 1,2,DIAMOND",9.057986,6.000771,5,6,136,193,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3140003__Astart,,A,A,victory,11,"2,1,DIAMOND | 0,3,SQUARE | 1,2,CIRCLE | 3,2,TRIANGLE",5.003736,6.000475,6,5,185,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3140004__Bstart,,B,B,victory,7,"3,1,TRIANGLE | 2,2,SQUARE | 2,3,DIAMOND | 1,0,CIRCLE",7.065187,3.600778,3,4,119,165,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4150003__Astart,,A,B,victory,10,"2,1,SQUARE | 3,0,DIAMOND | 1,2,DIAMOND | 0,1,CIRCLE",5.428025,4.800535,5,5,187,149,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4150004__Bstart,,B,B,victory,7,"2,0,DIAMOND | 1,1,DIAMOND | 0,2,CIRCLE | 2,3,CIRCLE",8.168537,3.600655,3,4,118,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5160003__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,3,DIAMOND | 2,2,TRIANGLE | 1,0,SQUARE",5.775010,3.600382,4,4,172,127,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5160004__Bstart,,B,B,victory,7,"0,1,SQUARE | 2,2,DIAMOND | 3,0,CIRCLE | 1,1,TRIANGLE",8.373584,3.600829,3,4,118,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6170003__Astart,,A,A,victory,9,"0,3,SQUARE | 3,2,DIAMOND | 2,2,CIRCLE | 1,3,TRIANGLE",4.227543,4.800415,5,4,179,135,0,0,0,0,0,1
