game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (baseline)__vs__Génétique+__seed7180006__Bstart,,B,B,victory,7,"2,2,SQUARE | 1,2,DIAMOND | 0,1,CIRCLE | 2,1,DIAMOND",0.002267,4.001729,3,4,108,181,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8190005__Astart,,A,B,no_move,12,"1,2,SQUARE | 1,3,CIRCLE | 2,2,SQUARE | 0,0,DIAMOND",0.003701,5.393727,6,6,155,153,1,0,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed8190006__Bstart,,B,B,victory,9,"2,2,CIRCLE | 1,1,TRIANGLE | 0,2,CIRCLE | 2,1,TRIANGLE",0.001515,4.933509,4,5,124,174,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9200005__Astart,,A,B,victory,4,"1,2,TRIANGLE | 1,3,SQUARE | 1,1,DIAMOND | 1,0,CIRCLE",0.001427,1.367313,2,2,114,95,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9200006__Bstart,,B,B,victory,9,"1,2,CIRCLE | 2,1,SQUARE | 1,1,DIAMOND | 2,0,SQUARE",0.002830,4.942038,4,5,126,185,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1010001__Astart,,A,B,victory,8,"1,1,SQUARE | 3,0,TRIANGLE | 2,1,DIAMOND | 0,2,TRIANGLE",0.001557,2.008615,4,4,166,124,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1010002__Bstart,,B,B,victory,5,"1,0,CIRCLE | 2,2,DIAMOND | 0,0,SQUARE | 1,1,DIAMOND",0.001484,1.770857,2,3,93,151,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed2020001__Astart,,A,B,victory,6,"1,2,TRIANGLE | 2,2,SQUARE | 1,1,TRIANGLE | 3,1,CIRCLE",0.003314,1.478381,3,3,138,129,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed2020002__Bstart,,B,B,victory,7,"0,0,CIRCLE | 1,2,DIAMOND | 2,0,TRIANGLE | 1,1,DIAMOND",0.001855,2.439812,3,4,111,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3030001__Astart,,A,B,no_move,10,"1,1,CIRCLE | 2,3,SQUARE | 2,1,TRIANGLE | 3,3,DIAMOND",0.002397,3.110377,5,5,166,135,1,1,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed3030002__Bstart,,B,B,victory,7,"2,0,CIRCLE | 2,2,DIAMOND | 1,0,SQUARE | 1,2,DIAMOND",0.001679,2.336946,3,4,111,183,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4040001__Astart,,A,B,no_move,8,"2,1,CIRCLE | 0,3,TRIANGLE | 2,2,CIRCLE | 3,2,DIAMOND",0.001907,2.928950,4,4,150,140,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed4040002__Bstart,,B,B,victory,7,"1,2,SQUARE | 2,1,SQUARE | 0,1,CIRCLE | 2,2,DIAMOND",0.001135,2.505811,3,4,120,169,0,0,0,0,1,0
